TYPE=DROPDOWN_OPTION
Mouse (Mus musculus),Mus musculus
Rat (Rattus norvegicus),Rattus norvegicus
Rat (Rattus rattus),Rattus rattus
Mongolian gerbil (Meriones unguiculatus),Meriones unguiculatus
Syrian (golden) hamster (Mesocricetus auratus),Mesocricetus auratus
Guinea pig (Cavia porcellus),Cavia porcellus
Cattle (Bos taurus),Bos taurus
Dog (Canis familiaris),Canis familiaris
Goat (Capra hircus),Capra hircus
Horse (Equus Caballus),Equus Caballus
Human (Homo sapiens),Homo sapiens
Sheep (Ovis aries),Ovis aries
